"","ind","missing","mean","reg","stoch.m1","stoch.m5","bayes.m1","bayes.m5","pmm.m1","pmm.m5"
"1","aw.x1",0.3,"0.066","0.064","0.064","0.076","0.064","0.078","0.064","0.078"
"2","aw.x2",0.3,"0.008","0.008","0.008","0.009","0.008","0.009","0.008","0.009"
"3","aw.x1",0.5,"0.068","0.063","0.064","0.086","0.064","0.094","0.064","0.093"
"4","aw.x2",0.5,"0.008","0.008","0.008","0.01","0.008","0.011","0.008","0.011"
"5","aw.x1",0.7,"0.069","0.063","0.064","0.101","0.064","0.122","0.064","0.12"
"6","aw.x2",0.7,"0.008","0.008","0.008","0.012","0.008","0.015","0.008","0.014"
