"","ind","missing","mean","reg","stoch.m1","stoch.m5","bayes.m1","bayes.m5","pmm.m1","pmm.m5"
"1","aw.x1",0.3,"1.422","1.431","1.544","1.544","1.544","1.544","1.544","1.543"
"2","aw.x2",0.3,"11.667","11.777","12.644","12.637","12.643","12.645","12.639","12.64"
"3","aw.y",0.3,"0.808","0.819","0.878","0.878","0.878","0.878","0.878","0.877"
"4","aw.x1",0.5,"1.331","1.345","1.543","1.543","1.544","1.545","1.542","1.542"
"5","aw.x2",0.5,"10.889","11.067","12.64","12.634","12.646","12.643","12.635","12.632"
"6","aw.y",0.5,"0.759","0.781","0.878","0.878","0.879","0.879","0.878","0.877"
"7","aw.x1",0.7,"1.242","1.259","1.546","1.546","1.547","1.548","1.545","1.545"
"8","aw.x2",0.7,"10.154","10.385","12.66","12.655","12.679","12.67","12.624","12.637"
"9","aw.y",0.7,"0.7","0.74","0.878","0.877","0.878","0.878","0.876","0.876"
