"","ind","missing","mean","reg","stoch.m1","stoch.m5","bayes.m1","bayes.m5","pmm.m1","pmm.m5"
"1","coverage.beta.x1",0.3,0.893,0.895,0.986,0.995,0.984,0.999,0.975,0.999
"2","coverage.beta.x2",0.3,0.802,0.796,0.984,0.998,0.977,0.997,0.973,0.997
"3","coverage.beta.x1",0.5,0.633,0.654,0.907,0.991,0.904,0.989,0.881,0.986
"4","coverage.beta.x2",0.5,0.407,0.461,0.909,0.98,0.882,0.984,0.9,0.984
"5","coverage.beta.x1",0.7,0.335,0.46,0.798,0.965,0.763,0.981,0.76,0.971
"6","coverage.beta.x2",0.7,0.207,0.307,0.775,0.944,0.729,0.978,0.731,0.961
