"","ind","missing","mean","reg","stoch.m1","stoch.m5","bayes.m1","bayes.m5","pmm.m1","pmm.m5"
"1","sem.coverage.x1",0.3,1,1,0.998,1,0.998,1,0.999,1
"2","sem.coverage.x2",0.3,0.999,0.999,0.998,1,1,1,0.999,1
"3","sem.coverage.y",0.3,0.999,0.999,0.999,1,0.999,0.999,0.998,0.999
"4","sem.coverage.x1",0.5,0.983,0.987,0.985,0.994,0.974,0.994,0.965,0.996
"5","sem.coverage.x2",0.5,0.978,0.985,0.983,0.992,0.969,0.997,0.978,0.99
"6","sem.coverage.y",0.5,0.981,0.993,0.988,0.997,0.979,0.996,0.982,0.996
"7","sem.coverage.x1",0.7,0.928,0.937,0.959,0.974,0.92,0.973,0.924,0.975
"8","sem.coverage.x2",0.7,0.911,0.923,0.941,0.968,0.929,0.963,0.918,0.963
"9","sem.coverage.y",0.7,0.933,0.953,0.963,0.979,0.94,0.967,0.933,0.978
