"","ind","missing","mean","reg","stoch.m1","stoch.m5","bayes.m1","bayes.m5","pmm.m1","pmm.m5"
"1","aw.x1",0.3,"0.066","0.063","0.064","0.078","0.064","0.08","0.065","0.08"
"2","aw.x2",0.3,"0.008","0.008","0.008","0.01","0.008","0.011","0.008","0.01"
"3","aw.x1",0.5,"0.068","0.063","0.064","0.085","0.064","0.096","0.064","0.094"
"4","aw.x2",0.5,"0.009","0.008","0.008","0.011","0.008","0.013","0.008","0.012"
"5","aw.x1",0.7,"0.07","0.064","0.064","0.101","0.064","0.119","0.064","0.117"
"6","aw.x2",0.7,"0.009","0.008","0.008","0.013","0.008","0.017","0.008","0.016"
