"","ind","missing","mean","reg","stoch.m1","stoch.m5","bayes.m1","bayes.m5","pmm.m1","pmm.m5"
"1","coverage.beta.x1",0.3,0.793,0.902,0.98,0.999,0.968,0.999,0.973,0.999
"2","coverage.beta.x2",0.3,0.465,0.516,0.814,0.913,0.821,0.929,0.935,0.988
"3","coverage.beta.x1",0.5,0.602,0.63,0.909,0.991,0.909,0.996,0.9,0.995
"4","coverage.beta.x2",0.5,0.29,0.26,0.712,0.878,0.697,0.915,0.822,0.97
"5","coverage.beta.x1",0.7,0.396,0.416,0.772,0.969,0.751,0.985,0.762,0.981
"6","coverage.beta.x2",0.7,0.208,0.218,0.661,0.854,0.625,0.922,0.669,0.945
