"","ind","missing","mean","reg","stoch.m1","stoch.m5","bayes.m1","bayes.m5","pmm.m1","pmm.m5"
"1","sem.coverage.x1",0.3,0.94,0.997,0.995,0.999,0.995,1,0.997,0.999
"2","sem.coverage.x2",0.3,0.868,0.994,0.994,0.999,0.988,1,0.987,0.998
"3","sem.coverage.y",0.3,0.746,0.999,0.997,1,0.998,1,0.996,0.999
"4","sem.coverage.x1",0.5,0.77,0.982,0.981,0.988,0.964,0.992,0.97,0.991
"5","sem.coverage.x2",0.5,0.658,0.941,0.976,0.978,0.952,0.984,0.942,0.974
"6","sem.coverage.y",0.5,0.558,0.976,0.98,0.993,0.972,0.99,0.964,0.995
"7","sem.coverage.x1",0.7,0.677,0.902,0.945,0.956,0.905,0.957,0.91,0.952
"8","sem.coverage.x2",0.7,0.646,0.902,0.941,0.954,0.905,0.954,0.906,0.956
"9","sem.coverage.y",0.7,0.553,0.882,0.936,0.966,0.925,0.959,0.907,0.96
