"","ind","missing","mean","reg","stoch.m1","stoch.m5","bayes.m1","bayes.m5","pmm.m1","pmm.m5"
"1","rmse.x1",0.3,"12.59 (0.77)","12.25 (0.8)","17.1 (1.08)","17.1 (0.72)","17.14 (1.11)","17.11 (0.75)","17.05 (1.12)","17.05 (0.72)"
"2","rmse.x2",0.3,"111.52 (15.12)","107.12 (13.73)","142.26 (12.99)","142.05 (11.25)","142.21 (12.74)","142.27 (11.37)","148.75 (16.19)","149.34 (12.57)"
"3","rmse.y",0.3,"7.26 (0.46)","6.69 (0.43)","9.37 (0.6)","9.37 (0.41)","9.37 (0.59)","9.39 (0.42)","9.23 (0.6)","9.25 (0.42)"
"4","rmse.x1",0.5,"12.48 (0.61)","12.19 (0.64)","17.08 (0.88)","17.07 (0.59)","17.06 (0.9)","17.08 (0.6)","17.04 (0.85)","17.04 (0.59)"
"5","rmse.x2",0.5,"108.54 (10.93)","104.81 (10.33)","139.7 (10.25)","139.58 (9.12)","139.73 (10.72)","139.82 (9.23)","145.78 (12.78)","145.98 (10.21)"
"6","rmse.y",0.5,"7.18 (0.36)","6.73 (0.37)","9.33 (0.47)","9.34 (0.36)","9.36 (0.49)","9.36 (0.38)","9.28 (0.5)","9.27 (0.35)"
"7","rmse.x1",0.7,"12.46 (0.5)","12.22 (0.54)","17.06 (0.76)","17.07 (0.54)","17.11 (0.8)","17.09 (0.55)","17.08 (0.75)","17.07 (0.54)"
"8","rmse.x2",0.7,"105.26 (8.95)","102.12 (8.68)","137.4 (8.95)","137.49 (8)","137.84 (9.36)","137.66 (8.08)","141.88 (10.92)","142.39 (8.95)"
"9","rmse.y",0.7,"7.12 (0.27)","6.8 (0.4)","9.31 (0.44)","9.34 (0.31)","9.35 (0.46)","9.35 (0.32)","9.28 (0.43)","9.27 (0.31)"
